ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1168563046,2,0,0,0,0,0,0,0,0,56,2012,2,2,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168597148,2,0,0,1,36,3,6,7,11,56,2012,2,10,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168662018,2,0,0,0,0,0,0,0,0,56,2012,2,25,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168682802,2,0,0,0,0,0,0,0,0,56,2012,3,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168784878,2,0,0,0,0,0,0,0,0,56,2011,12,26,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168799629,2,0,0,0,0,0,0,0,0,84,2012,3,6,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168835186,2,0,0,0,0,0,0,0,0,56,2012,2,22,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168873610,2,0,0,0,0,0,0,0,0,56,2012,4,18,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168911293,2,0,0,0,0,0,0,0,0,23,2012,1,13,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168911699,2,0,0,2,36,2,6,5,3,56,2012,1,4,21,50,2012,3,1,16,22,0,0,0,0,0,0,0,0,0,0
1168921131,2,0,0,0,0,0,0,0,0,56,2012,1,28,15,3,2012,8,4,14,22,0,0,0,0,0,0,0,0,0,0
1169103703,2,0,0,0,0,0,0,0,0,171,2012,3,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169157075,2,0,0,0,0,0,0,0,0,56,2012,3,1,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169187398,2,0,0,0,0,0,0,0,0,56,2011,12,14,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169324825,2,0,0,0,0,0,0,0,0,56,2011,12,29,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
